Title     : 别再问我什么是AI：10分钟速通AI黑话，这次终于能看懂AI新闻了【柴知道】
Video ID  : G4rBAWNYNsQ
URL       : https://www.youtube.com/watch?v=G4rBAWNYNsQ
Language  : Chinese (zh)
Generated : No (manually created)
[12:34.44]  一个简单的骗粉小技巧送给大家
[12:37.68]  最后
[12:38.24]  我们不知道有多少人看到这里
[12:40.12]  看完的可以在弹幕里举个手
[12:42.40]  因为柴司有同学看完这期文稿后说
[12:44.60]  有点晕
[12:45.24]  像上课
[12:45.96]  信息太密集
[12:47.52]  但没办法
[12:48.32]  关于大模型的一切都很抽象
[12:50.04]  确实需要一点耐心才能看下来
[12:52.80]  如果你觉得这对你有所帮助
[12:54.32]  那欢迎给个三连
[12:55.64]  让我们知道这期视频
[12:56.96]  是不是真的有人看
[12:58.88]  下期见
